,open,high,low,close,volume
2024-01-02 00:00:00,18000.0,18004.75,17966.75,17971.5,484
2024-01-02 00:05:00,17971.5,17979.0,17957.0,17964.5,1088
2024-01-02 00:10:00,17964.5,17985.0,17940.75,17961.25,1134
2024-01-02 00:15:00,17961.25,17961.5,17957.5,17958.0,843
2024-01-02 00:20:00,17958.0,17995.5,17955.25,17992.75,630
2024-01-02 00:25:00,17992.75,17998.75,17982.25,17988.0,310
2024-01-02 00:30:00,17988.0,17988.25,17979.75,17980.0,262
2024-01-02 00:35:00,17980.0,17989.75,17965.25,17975.0,1153
2024-01-02 00:40:00,17975.0,17980.75,17965.75,17971.5,553
2024-01-02 00:45:00,17971.5,17981.0,17958.75,17968.25,853
2024-01-02 00:50:00,17968.25,17986.75,17955.0,17973.25,1462
2024-01-02 00:55:00,17973.25,17978.5,17965.5,17970.5,941
2024-01-02 01:00:00,17970.5,18005.75,17955.25,17990.5,1262
2024-01-02 01:05:00,17990.5,18009.25,17968.25,17987.0,325
2024-01-02 01:10:00,17987.0,17999.75,17963.75,17976.5,1123
2024-01-02 01:15:00,17976.5,18004.25,17957.25,17985.0,369
2024-01-02 01:20:00,17985.0,17988.5,17981.75,17985.25,1033
2024-01-02 01:25:00,17985.25,17994.75,17944.25,17953.75,1339
2024-01-02 01:30:00,17953.75,17969.5,17926.75,17942.5,1094
2024-01-02 01:35:00,17942.5,17962.75,17924.5,17944.75,291
2024-01-02 01:40:00,17944.75,17962.5,17921.25,17939.0,1440
2024-01-02 01:45:00,17939.0,17944.25,17933.0,17938.25,573
2024-01-02 01:50:00,17938.25,17957.75,17933.0,17952.5,326
2024-01-02 01:55:00,17952.5,17962.0,17944.25,17953.75,1369
2024-01-02 02:00:00,17953.75,17957.75,17946.75,17950.75,621
2024-01-02 02:05:00,17950.75,17973.5,17933.25,17956.0,1123
2024-01-02 02:10:00,17956.0,17975.75,17933.25,17952.75,831
2024-01-02 02:15:00,17952.75,17956.0,17951.25,17954.5,1407
